# MU=0.16905 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
4.73,4.0212300494,1.9422936562,-5.0559920377
4.74,4.0386355373,1.9455564830,-5.0892329139
4.75,4.0561394949,1.9488156784,-5.1226610737
4.76,4.0737415514,1.9520712432,-5.1562774803
4.77,4.0914413274,1.9553231781,-5.1900830971
4.78,4.1092384342,1.9585714839,-5.2240788878
4.79,4.1271324746,1.9618161616,-5.2582658162
4.80,4.1451230422,1.9650572122,-5.2926448462
4.81,4.1632097221,1.9682946366,-5.3272169416
4.82,4.1813920905,1.9715284360,-5.3619830661
4.83,4.1996697150,1.9747586116,-5.3969441833
4.84,4.2180421542,1.9779851645,-5.4321012566
4.85,4.2365089585,1.9812080962,-5.4674552488
4.86,4.2550696694,1.9844274080,-5.5030071228
4.87,4.2737238198,1.9876431014,-5.5387578404
4.88,4.2924709341,1.9908551778,-5.5747083633
4.89,4.3113105284,1.9940636388,-5.6108596524
4.90,4.3302421100,1.9972684862,-5.6472126679
4.91,4.3492651781,2.0004697214,-5.6837683691
4.92,4.3683792234,2.0036673464,-5.7205277146
4.93,4.3875837282,2.0068613629,-5.7574916618
4.94,4.4068781667,2.0100517729,-5.7946611674
4.95,4.4262620048,2.0132385782,-5.8320371866
4.96,4.4457347001,2.0164217808,-5.8696206737
4.97,4.4652957022,2.0196013828,-5.9074125816
4.98,4.4849444525,2.0227773864,-5.9454138618
4.99,4.5046803846,2.0259497935,-5.9836254645
5.00,4.5245029238,2.0291186066,-6.0220483382
